Timebase,RefCh1,Sen1Ch1,Sen2Ch1,RefCh2,Sen1Ch2,Sen2Ch2,RefCh3,Sen1Ch3,Sen2Ch3,RefCh4,Sen1Ch4,Sen2Ch4,RefCh5,Sen1Ch5,Sen2Ch5,RefCh6,Sen1Ch6,Sen2Ch6,RefCh7,Sen1Ch7,Sen2Ch7,Flow1,Flow2,FlowC,Pressure(Pa),Temperature(°C),BB(%),ContTemp,SupplyTemp,Status,ContStatus,DetectStatus,LedStatus,ValveStatus,LedTemp,BC11,BC12,BC1,BC21,BC22,BC2,BC31,BC32,BC3,BC41,BC42,BC4,BC51,BC52,BC5,BC61,BC62,BC6,BC71,BC72,BC7,K1,K2,K3,K4,K5,K6,K7,TapeAdvCount,DateTime,Timeread
60,925278,540982,720909,922628,621106,777370,913528,627778,777268,882453,640242,769340,843298,718022,848467,658532,804658,892121,716004,812717,896982,3722,1274,4996,101325,21.11,0.0,35,39,65536,0,10,10,0,35,20,-8,29,18,24,25,9,5,11,25,10,32,-6,-30,-7,23,25,26,-5,10,-5,0.007881399,0.008121592,0.008375441,0.00873776,0.008663708,0.007370312,0.007360058,84,2022-05-30 00:13:00,2022-05-30 00:00:00
60,925278,540961,720901,922666,621117,777391,913553,627772,777267,882507,640273,769384,843345,718035,848510,658550,804664,892131,716005,812701,896978,3721,1274,4995,101325,21.11,0.0,35,41,65536,0,10,10,0,35,29,24,42,22,39,30,39,88,50,15,14,19,50,20,61,35,83,40,40,33,45,0.007881276,0.008121967,0.008376888,0.008737721,0.008662353,0.007373902,0.007359561,84,2022-05-30 00:14:00,2022-05-30 00:00:00
60,925304,540956,720908,922663,621098,777375,913579,627785,777291,882542,640287,769415,843355,718043,848515,658588,804701,892179,716059,812758,897033,3721,1274,4995,101325,21.11,100.0,35,38,65536,0,10,10,0,35,28,40,40,26,48,35,8,-7,11,21,-2,27,1,23,1,21,20,23,10,79,11,0.007881443,0.008122463,0.008376396,0.008736888,0.008663301,0.00737377,0.00736458,84,2022-05-30 00:15:00,2022-05-30 00:00:00
60,925258,540908,720864,922660,621079,777377,913543,627741,777253,882533,640261,769391,843332,718000,848482,658574,804681,892161,716031,812707,896993,3720,1275,4995,101325,21.11,0.0,35,41,65536,0,10,10,0,35,29,25,42,26,-16,35,32,29,42,36,73,46,43,45,53,6,-6,7,45,31,51,0.007881323,0.008121395,0.008376224,0.008738128,0.008663348,0.0073726,0.007363631,84,2022-05-30 00:16:00,2022-05-30 00:00:00
60,925293,540916,720883,922662,621055,777359,913558,627733,777255,882563,640271,769409,843367,718027,848510,658572,804662,892159,716030,812713,896998,3724,1271,4995,101325,21.11,0.0,35,38,65536,0,10,10,0,35,17,25,25,39,70,52,31,43,40,22,37,28,5,33,6,36,-4,41,-17,-39,-19,0.007881416,0.00812206,0.008376514,0.0087386,0.008664541,0.007369738,0.007361704,84,2022-05-30 00:17:00,2022-05-30 00:00:00
60,925268,540885,720843,922633,621030,777338,913528,627699,777239,882540,640247,769387,843337,717983,848474,658555,804626,892121,715993,812644,896940,3721,1274,4995,101325,21.11,0.0,35,41,65536,0,10,10,0,35,23,62,33,8,-12,11,22,-38,29,14,9,17,34,27,42,34,87,38,64,73,71,0.007882051,0.008121531,0.008374619,0.008738411,0.008664158,0.007373631,0.007362565,84,2022-05-30 00:18:00,2022-05-30 00:00:00
60,925328,540902,720883,922693,621047,777375,913564,627719,777255,882639,640291,769461,843385,718014,848521,658612,804681,892189,716041,812690,897007,3722,1273,4995,101325,21.11,100.0,35,38,65536,0,10,10,0,35,25,20,36,36,48,48,8,58,10,52,56,66,18,6,22,32,54,36,20,-43,22,0.00788193,0.008121762,0.008376118,0.008738461,0.008663584,0.007375194,0.007357971,84,2022-05-30 00:19:00,2022-05-30 00:00:00
60,925256,540837,720806,922608,620982,777296,913536,627668,777205,882569,640232,769394,843311,717935,848434,658532,804573,892070,715974,812593,896907,3721,1275,4996,101325,21.11,0.0,35,41,65536,0,10,10,0,35,32,63,46,12,26,16,53,103,69,15,27,19,30,57,36,23,62,26,49,100,55,0.00788243,0.008122114,0.008377573,0.008738895,0.008664796,0.007377836,0.007361779,84,2022-05-30 00:20:00,2022-05-30 00:00:00
60,925346,540884,720888,922705,621029,777370,913609,627706,777275,882737,640330,769528,843441,718033,848562,658633,804687,892216,716093,812721,897051,3721,1275,4996,101325,21.11,99.2,35,38,65536,0,10,10,0,35,8,-36,11,28,27,37,20,-31,26,44,56,56,23,13,29,21,-53,23,17,32,19,0.00788164,0.008121999,0.008375901,0.008739152,0.008664223,0.007372501,0.007362889,84,2022-05-30 00:21:00,2022-05-30 00:00:00
60,925299,540827,720834,922692,620995,777350,913586,627675,777251,882725,640309,769518,843425,717998,848538,658627,804661,892197,716064,812671,897009,3719,1276,4995,101325,21.11,0.0,35,39,65536,0,10,10,0,35,22,39,31,14,3,19,13,-1,16,37,45,47,10,7,13,54,55,61,46,51,51,0.007881756,0.008121749,0.008375568,0.008738223,0.008663991,0.007373983,0.007362419,84,2022-05-30 00:23:00,2022-05-30 00:00:00
